test atmosphere/standard_temperature ... bench:           0 ns/iter (+/- 0)

test atmosphere/standard_pressure ... bench:          14 ns/iter (+/- 0)

test atmosphere/air_density ... bench:           1 ns/iter (+/- 0)

test moisture/saturation_vapor_pressure ... bench:           5 ns/iter (+/- 0)

test moisture/dew_point ... bench:           7 ns/iter (+/- 0)

test moisture/heat_index ... bench:           3 ns/iter (+/- 0)

test moisture/wet_bulb_temperature ... bench:          51 ns/iter (+/- 9)

test wind/coriolis_parameter ... bench:           8 ns/iter (+/- 1)

test wind/wind_chill ... bench:          13 ns/iter (+/- 1)

test cloud/cloud_base_altitude ... bench:           0 ns/iter (+/- 0)

test wind/beaufort_scale ... bench:           3 ns/iter (+/- 0)

test pressure/barometric_pressure ... bench:           6 ns/iter (+/- 0)

test stability/classify_stability ... bench:           1 ns/iter (+/- 0)

test stability/cape_simple ... bench:           1 ns/iter (+/- 0)

test atmosphere/standard_temperature ... bench:           0 ns/iter (+/- 0)

test atmosphere/standard_pressure ... bench:          14 ns/iter (+/- 0)

test atmosphere/air_density ... bench:           1 ns/iter (+/- 0)

test moisture/saturation_vapor_pressure ... bench:           5 ns/iter (+/- 0)

test moisture/dew_point ... bench:           7 ns/iter (+/- 0)

test moisture/heat_index ... bench:           2 ns/iter (+/- 0)

test moisture/wet_bulb_temperature ... bench:          50 ns/iter (+/- 0)

test wind/coriolis_parameter ... bench:           8 ns/iter (+/- 0)

test wind/wind_chill ... bench:          13 ns/iter (+/- 0)

test cloud/cloud_base_altitude ... bench:           0 ns/iter (+/- 0)

test wind/beaufort_scale ... bench:           3 ns/iter (+/- 0)

test pressure/barometric_pressure ... bench:           5 ns/iter (+/- 0)

test stability/classify_stability ... bench:           1 ns/iter (+/- 0)

test stability/cape_simple ... bench:           1 ns/iter (+/- 0)

test atmosphere/standard_temperature ... bench:           0 ns/iter (+/- 0)

test atmosphere/standard_pressure ... bench:          14 ns/iter (+/- 4)

test atmosphere/air_density ... bench:           1 ns/iter (+/- 0)

test moisture/saturation_vapor_pressure ... bench:           5 ns/iter (+/- 0)

test moisture/dew_point ... bench:           7 ns/iter (+/- 0)

test moisture/heat_index ... bench:           3 ns/iter (+/- 0)

test moisture/wet_bulb_temperature ... bench:          50 ns/iter (+/- 7)

test wind/coriolis_parameter ... bench:           8 ns/iter (+/- 2)

test wind/wind_chill ... bench:          13 ns/iter (+/- 3)

test cloud/cloud_base_altitude ... bench:           0 ns/iter (+/- 0)

test wind/beaufort_scale ... bench:           3 ns/iter (+/- 0)

test pressure/barometric_pressure ... bench:           6 ns/iter (+/- 0)

test stability/classify_stability ... bench:           1 ns/iter (+/- 0)

test stability/cape_simple ... bench:           1 ns/iter (+/- 0)

test precipitation/rain_rate ... bench:           3 ns/iter (+/- 0)

test precipitation/precipitation_type ... bench:           3 ns/iter (+/- 0)

test precipitation/freezing_level ... bench:           1 ns/iter (+/- 0)

test atmosphere/standard_temperature ... bench:           0 ns/iter (+/- 0)

test atmosphere/standard_pressure ... bench:          14 ns/iter (+/- 0)

test atmosphere/air_density ... bench:           1 ns/iter (+/- 0)

test moisture/saturation_vapor_pressure ... bench:           5 ns/iter (+/- 0)

test moisture/dew_point ... bench:           7 ns/iter (+/- 0)

test moisture/heat_index ... bench:           3 ns/iter (+/- 0)

test moisture/wet_bulb_temperature ... bench:          50 ns/iter (+/- 1)

test wind/coriolis_parameter ... bench:           8 ns/iter (+/- 0)

test wind/wind_chill ... bench:          13 ns/iter (+/- 2)

test cloud/cloud_base_altitude ... bench:           0 ns/iter (+/- 0)

test wind/beaufort_scale ... bench:           3 ns/iter (+/- 0)

test pressure/barometric_pressure ... bench:           6 ns/iter (+/- 1)

test stability/classify_stability ... bench:           1 ns/iter (+/- 0)

test stability/cape_simple ... bench:           1 ns/iter (+/- 0)

test precipitation/rain_rate ... bench:           3 ns/iter (+/- 0)

test precipitation/precipitation_type ... bench:           3 ns/iter (+/- 0)

test precipitation/freezing_level ... bench:           1 ns/iter (+/- 0)

test radiation/solar_zenith_angle ... bench:          34 ns/iter (+/- 9)

test radiation/clear_sky_irradiance ... bench:           8 ns/iter (+/- 1)

test radiation/longwave_emission ... bench:           0 ns/iter (+/- 0)

test radiation/equilibrium_temperature ... bench:          13 ns/iter (+/- 2)

test atmosphere/standard_temperature ... bench:           0 ns/iter (+/- 0)

test atmosphere/standard_pressure ... bench:          14 ns/iter (+/- 0)

test atmosphere/air_density ... bench:           1 ns/iter (+/- 0)

test moisture/saturation_vapor_pressure ... bench:           5 ns/iter (+/- 0)

test moisture/dew_point ... bench:           7 ns/iter (+/- 0)

test moisture/heat_index ... bench:           3 ns/iter (+/- 0)

test moisture/wet_bulb_temperature ... bench:          53 ns/iter (+/- 12)

test wind/coriolis_parameter ... bench:           8 ns/iter (+/- 0)

test wind/wind_chill ... bench:          13 ns/iter (+/- 0)

test cloud/cloud_base_altitude ... bench:           0 ns/iter (+/- 0)

test wind/beaufort_scale ... bench:           3 ns/iter (+/- 0)

test pressure/barometric_pressure ... bench:           6 ns/iter (+/- 1)

test stability/classify_stability ... bench:           1 ns/iter (+/- 0)

test stability/cape_simple ... bench:           1 ns/iter (+/- 0)

test precipitation/rain_rate ... bench:           3 ns/iter (+/- 0)

test precipitation/precipitation_type ... bench:           3 ns/iter (+/- 0)

test precipitation/freezing_level ... bench:           1 ns/iter (+/- 0)

test radiation/solar_zenith_angle ... bench:          56 ns/iter (+/- 10)

test radiation/clear_sky_irradiance ... bench:           8 ns/iter (+/- 0)

test radiation/longwave_emission ... bench:           0 ns/iter (+/- 0)

test radiation/equilibrium_temperature ... bench:          14 ns/iter (+/- 3)

test mesoscale/sea_land_breeze ... bench:           5 ns/iter (+/- 0)

test mesoscale/katabatic_wind ... bench:          11 ns/iter (+/- 3)

test mesoscale/urban_heat_island ... bench:          15 ns/iter (+/- 3)

test atmosphere/standard_temperature ... bench:           0 ns/iter (+/- 0)

test atmosphere/standard_pressure ... bench:          14 ns/iter (+/- 0)

test atmosphere/air_density ... bench:           1 ns/iter (+/- 0)

test moisture/saturation_vapor_pressure ... bench:           5 ns/iter (+/- 0)

test moisture/dew_point ... bench:           7 ns/iter (+/- 0)

test moisture/heat_index ... bench:           3 ns/iter (+/- 0)

test moisture/wet_bulb_temperature ... bench:          49 ns/iter (+/- 1)

test wind/coriolis_parameter ... bench:           8 ns/iter (+/- 0)

test wind/wind_chill ... bench:          13 ns/iter (+/- 1)

